gtdb_species_clade_id,env_broad_scale,n_genomes_in_env
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,terrestrial biome,2
s__Bacillus_velezensis--RS_GCF_001461825.1,feces,2
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,food material,2
s__Bacillus_subtilis--RS_GCF_000009045.1,contaminated soil,1
s__Aeromonas_veronii--RS_GCF_000820225.1,liquid water,1
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,microcosm,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,digestive system,2
s__Acinetobacter_ursingii--RS_GCF_000368825.1,,36
s__Sarcina_perfringens--RS_GCF_000013285.1,,8
s__Serratia_marcescens--RS_GCF_017299535.1,,4
s__Acinetobacter_soli--RS_GCF_000760595.1,biome,28
s__Citrobacter_portucalensis--RS_GCF_002042885.1,terrestrial biome,2
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,leaf,1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,food product,1
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,pickled cucumber,1
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,environment associated with an animal part or small animal,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,sewage,1
s__Citrobacter_braakii--RS_GCF_002075345.1,waste water,2
s__Lactobacillus_crispatus--RS_GCF_018987235.1,,181
s__Coxiella_burnetii--RS_GCF_005280755.1,,2
s__Klebsiella_terrigena--RS_GCF_006539725.1,,8
s__Enterococcus_B_faecium--RS_GCF_001544255.1,hospital,47
s__Aeromonas_caviae--RS_GCF_000819785.1,waste water,4
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,human-associated habitat,29
s__Bacillus_velezensis--RS_GCF_001461825.1,sea,2
s__Enterococcus_B_durans--RS_GCF_001544215.1,terrestrial biome,2
s__Bifidobacterium_animalis--RS_GCF_000260715.1,food product,2
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,national geopolitical entity,1
s__Streptococcus_mutans--RS_GCF_006739205.1,Homo sapiens,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,freshwater biome,1
s__Bacteroides_uniformis--GB_GCA_025147485.1,,94
s__Clostridium_butyricum--RS_GCF_006742065.1,,10
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,,46
s__Chlamydia_trachomatis--RS_GCF_000012125.1,,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,temperate coniferous forest biome,7
s__Weissella_cibaria--RS_GCF_000193635.1,terrestrial biome,4
s__Lactococcus_lactis--RS_GCF_900099625.1,area designated as a nature reserve,1
s__Pediococcus_acidilactici--RS_GCF_000146325.1,food material,2
s__Dorea_formicigenerans--GB_GCA_025150245.1,human-associated habitat,2
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,food product,1
s__Enterococcus_E_cecorum--RS_GCF_000407565.1,19650 - chicken fresh meat (efsa foodex2),1
s__Klebsiella_variicola--RS_GCF_000828055.2,terrestrial biome,1
s__Mycoplasmopsis_bovis--RS_GCF_000183385.1,human-associated habitat,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,,92
s__Vibrio_diabolicus--GB_GCA_001048675.1,,9
s__Enterobacter_ludwigii--RS_GCF_001750725.1,sewage,5
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,human-associated habitat,3
s__Campylobacter_D_coli--RS_GCF_000254135.1,biome,1
s__Staphylococcus_chromogenes--RS_GCF_002901945.1,Bos,4
s__Wolbachia_pipientis--RS_GCF_021378375.1,,828
s__Enterococcus_D_casseliflavus--RS_GCF_001544095.1,,6
s__Ruminococcus_E_sp900317315--GB_GCA_900317315.1,Bos taurus,89
s__Oenococcus_oeni--RS_GCF_000372485.1,wine,132
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,watercourse,2
s__Streptococcus_anginosus--RS_GCF_900636475.1,watercourse,1
s__Enterococcus_B_hirae--RS_GCF_000271405.2,terrestrial biome,3
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,habitat,1
s__Streptococcus_gordonii--RS_GCF_001553855.1,feces,1
s__Clostridioides_difficile--RS_GCF_001077535.1,watercourse,3
s__Agathobacter_rectalis--GB_GCA_000020605.1,bioreactor,3
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,sediment,1
s__Prevotella_sp015074785--RS_GCF_015074785.1,Homo sapiens,1
s__Burkholderia_multivorans--RS_GCF_000959525.1,,1
s__Mesorhizobium_sp002294985--RS_GCF_002294985.1,,1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,digestive system,1
s__Bacillus_A_pseudomycoides--RS_GCF_000161455.1,area of developed space,1
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,human-associated habitat,2
s__Streptococcus_thermophilus--RS_GCF_010120595.1,human-associated habitat,7
s__Clostridium_butyricum--RS_GCF_006742065.1,human-associated habitat,2
s__Bacillus_velezensis--RS_GCF_001461825.1,liquid water,1
s__Aeromonas_caviae--RS_GCF_000819785.1,,95
s__Vibrio_fluvialis--RS_GCF_900460245.1,,2
s__Bifidobacterium_infantis--RS_GCF_000269965.1,biome,1
s__Streptococcus_pyogenes--RS_GCF_002055535.1,Homo sapiens,2
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,forest biome,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,animal-associated environment,1
s__Lactobacillus_gasseri--RS_GCF_000014425.1,food material,1
s__Enterobacter_asburiae_B--RS_GCF_007035645.1,bioreactor,1
s__Borreliella_burgdorferi--RS_GCF_000008685.2,forested area,1
s__Xanthomonas_euvesicatoria--RS_GCF_020880415.1,,3
s__Yersinia_pestis--RS_GCF_900460465.1,,1
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,Metazoa,1
s__Priestia_megaterium--RS_GCF_000832985.1,intestine,1
s__Pectobacterium_brasiliense--RS_GCF_000754695.1,cropland biome,3
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,feces,2
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,cheese food product,2
s__Bacillus_velezensis--RS_GCF_001461825.1,field,4
s__Pediococcus_pentosaceus--RS_GCF_001437285.1,human-associated habitat,1
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,steppe,1
s__Bacillus_A_toyonensis--RS_GCF_000496285.1,soil,1
s__Pseudomonas_E_asiatica--RS_GCF_009932335.1,human-associated habitat,1
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,animal-associated environment,1
s__Bacteroides_stercoris--GB_GCA_025147325.1,,16
s__Bacteroides_stercoris--GB_GCA_025147325.1,biome,21
s__Bacillus_velezensis--RS_GCF_001461825.1,Bacteria,1
s__Agathobacter_faecis--RS_GCF_001406815.1,digestive system,1
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,watercourse,1
s__Eggerthella_lenta--RS_GCF_000024265.1,feces,1
s__Bifidobacterium_infantis--RS_GCF_000269965.1,human-associated habitat,1
s__Bacillus_velezensis--RS_GCF_001461825.1,field soil,2
s__Faecalibacterium_prausnitzii--RS_GCF_003324185.1,,11
s__Proteus_mirabilis--RS_GCF_000160755.1,,16
s__Alistipes_onderdonkii--GB_GCA_025145285.1,,31
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,,19
s__Burkholderia_contaminans--RS_GCF_000987075.1,habitat,1
s__Pectobacterium_versatile_A--RS_GCF_020166435.1,field,1
s__Streptococcus_salivarius--RS_GCF_000785515.1,human-associated habitat,9
s__Streptococcus_anginosus--RS_GCF_900636475.1,terrestrial biome,2
s__Mannheimia_haemolytica--RS_GCF_004342115.1,,12
s__Bacillus_velezensis--RS_GCF_001461825.1,farm,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,Homo sapiens,6
s__Limosilactobacillus_reuteri--RS_GCF_000016825.1,watercourse,4
s__Lactobacillus_helveticus--RS_GCF_000160855.1,terrestrial biome,2
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,biome,1
s__Leclercia_adecarboxylata--GB_GCA_901472455.1,liquid water,1
s__Mycoplasmoides_pneumoniae--RS_GCF_001272835.1,Homo sapiens,2
s__Cutibacterium_acnes--RS_GCF_003030305.1,permafrost,1
s__Pseudomonas_E_cerasi--RS_GCF_900074915.1,,7
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,,5
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,sea,4
s__Bifidobacterium_pseudocatenulatum--RS_GCF_001025215.1,anthropogenic terrestrial biome,3
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,human-associated habitat,9
s__Klebsiella_aerogenes--RS_GCF_000215745.1,human-associated habitat,2
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,agricultural soil,1
s__Mycobacterium_marinum--RS_GCF_003391395.1,human-associated habitat,2
s__Agathobacter_faecis--RS_GCF_001406815.1,terrestrial biome,4
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,urban biome,1
s__Citrobacter_portucalensis--RS_GCF_002042885.1,soil,1
s__Rhizobium_leguminosarum_L--RS_GCF_000009265.1,,14
s__Streptococcus_salivarius--RS_GCF_000785515.1,feces,8
s__Bacillus_licheniformis--RS_GCF_000011645.1,lake,1
s__Weissella_confusa--GB_GCA_001436895.1,Homo sapiens,6
s__Bifidobacterium_animalis--RS_GCF_000260715.1,unidentified,14
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,food material,5
s__Aeromonas_dhakensis--RS_GCF_000820305.1,woodland area,3
s__Bifidobacterium_longum--RS_GCF_000196555.1,feces,9
s__Bacillus_safensis--RS_GCF_000691165.1,root,1
s__Rhizobium_leguminosarum--RS_GCF_002008365.1,root nodule,10
s__Burkholderia_contaminans--RS_GCF_000987075.1,alpine,4
s__Bacillus_licheniformis--RS_GCF_000011645.1,spring,1
s__Citrobacter_freundii--RS_GCF_011064845.1,anthropogenic terrestrial biome,2
s__Klebsiella_oxytoca--RS_GCF_001598695.1,freshwater biome,1
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,,2
s__Mycobacterium_chelonae--RS_GCF_001632805.1,,1
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,watercourse,1
s__Enterococcus_faecalis--RS_GCF_000392875.1,field,1
s__Bacillus_A_thuringiensis--RS_GCF_002119445.1,sediment,1
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,Homo sapiens,1
s__Burkholderia_vietnamiensis--RS_GCF_000959445.1,paddy field,1
s__Campylobacter_D_coli--RS_GCF_000254135.1,human-associated habitat,1
s__Vibrio_diabolicus--GB_GCA_001048675.1,estuarine biome,1
s__Micrococcus_luteus--RS_GCF_000023205.1,biome,12
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,freshwater biome,2
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,human-associated habitat,1
s__Enterobacter_bugandensis--RS_GCF_900324475.1,biome,5
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,Sepsis,1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,Homo sapiens,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,agricultural field,1
s__Ruminococcus_B_gnavus--RS_GCF_008121495.1,fecal environment,3
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1,environmental system,4
s__Enterococcus_D_casseliflavus--RS_GCF_001544095.1,human-associated habitat,2
s__Akkermansia_muciniphila--RS_GCF_000020225.1,feces,2
s__Vibrio_parahaemolyticus--RS_GCF_900460535.1,human-associated habitat,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,sludge,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,biome,3
s__Stenotrophomonas_maltophilia_F--RS_GCF_000284595.1,biome,1
s__Klebsiella_oxytoca--RS_GCF_001598695.1,human-associated habitat,2
s__Acinetobacter_sp002018365--RS_GCF_002018365.1,tropical forest,1
s__Lactobacillus_helveticus--RS_GCF_000160855.1,,79
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,habitat,46
s__Bacillus_A_mycoides--RS_GCF_000832605.1,subpolar coniferous forest biome,9
s__Sarcina_perfringens--RS_GCF_000013285.1,terrestrial biome,4
s__Proteus_mirabilis--RS_GCF_000160755.1,companion animal,1
s__Vibrio_fluvialis--RS_GCF_900460245.1,freshwater biome,1
s__Ruminococcus_E_bromii_B--RS_GCF_002834235.1,anthropogenic terrestrial biome,17
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,dairy food product,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,terrestrial biome,2
s__Serratia_nevei--RS_GCF_008364245.1,biome,1
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,alimentary part of gastrointestinal system,1
s__Bifidobacterium_animalis--RS_GCF_000260715.1,Homo sapiens,2
s__Salinibacter_ruber--RS_GCF_000013045.1,,85
s__Phocaeicola_dorei--RS_GCF_013009555.1,digestive system,1
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,rhizosphere,1
s__Bacillus_paralicheniformis--RS_GCF_001042485.2,biome,7
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,Homo sapiens,4
s__Klebsiella_michiganensis--RS_GCF_002925905.1,terrestrial biome,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,mediterranean biome,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,dairy food product,5
s__Lactococcus_cremoris--RS_GCF_001591705.1,feces,1
s__Mycobacterium_intracellulare--RS_GCF_000277125.1,,31
s__Weissella_cibaria--RS_GCF_000193635.1,,14
s__Acinetobacter_soli--RS_GCF_000760595.1,planetary landmass,1
s__Streptococcus_salivarius--RS_GCF_000785515.1,biome,16
s__Odoribacter_splanchnicus--RS_GCF_000190535.1,biome,9
s__Lactococcus_lactis--RS_GCF_900099625.1,alimentary part of gastrointestinal system,1
s__Leptospira_interrogans--RS_GCF_900156205.1,national geopolitical entity,3
s__Phocaeicola_dorei--RS_GCF_013009555.1,alimentary part of gastrointestinal system,1
s__Klebsiella_michiganensis--RS_GCF_002925905.1,soil,1
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,root,2
s__Agrobacterium_fabacearum--RS_GCF_009649785.1,root,1
s__Lactobacillus_johnsonii--RS_GCF_000159355.1,habitat,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,,41
s__Staphylococcus_capitis--RS_GCF_002902325.1,skin environment,3
s__Aeromonas_veronii--RS_GCF_000820225.1,human-associated habitat,4
s__Bifidobacterium_globosum--RS_GCF_000741295.1,intestine,2
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,cell culture,1
s__Shewanella_algae--RS_GCF_009183365.2,finfish farming process,1
s__Staphylococcus_warneri--RS_GCF_900636385.1,meromictic lake,1
s__Klebsiella_grimontii--RS_GCF_900200035.1,feces,1
s__Streptococcus_suis_P--GB_GCA_002831545.1,,2
s__Lactobacillus_iners--RS_GCF_000160875.1,terrestrial biome,9
s__Enterococcus_faecalis--RS_GCF_000392875.1,watercourse,6
s__Enterococcus_faecalis--RS_GCF_000392875.1,feces,1
s__Lactobacillus_helveticus--RS_GCF_000160855.1,fermented beverage,1
s__Streptococcus_anginosus--RS_GCF_900636475.1,vagina,1
s__Helicobacter_pylori_BU--RS_GCF_900120335.1,,1
s__Clostridioides_difficile--RS_GCF_001077535.1,mediterranean,3
s__Bacillus_A_thuringiensis_S--RS_GCF_000021305.1,garden,2
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,marsh,1
s__Phascolarctobacterium_faecium--RS_GCF_003269275.1,habitat,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,alluvial plain,1
s__Enterobacter_cloacae--RS_GCF_000025565.1,mangrove swamp,1
s__Lactobacillus_helveticus--RS_GCF_000160855.1,food product,1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,farm,16
s__Bacillus_A_anthracis--RS_GCF_000742895.1,biome,3
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,soil,3
s__Cutibacterium_acnes--RS_GCF_003030305.1,feces,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,habitat,1
s__Acinetobacter_radioresistens--RS_GCF_006757745.1,farm,1
s__Bifidobacterium_breve--RS_GCF_001025175.1,food material,2
s__Bacillus_altitudinis--RS_GCF_000691145.1,mangrove biome,2
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,human-associated habitat,2
s__Bifidobacterium_animalis--RS_GCF_000260715.1,terrestrial biome,1
s__Bacillus_velezensis--RS_GCF_001461825.1,marine biome,1
s__Bacteroides_thetaiotaomicron--RS_GCF_000011065.1,digestive system,1
s__Xylella_fastidiosa--RS_GCF_011801475.1,mediterranean,1
s__Rhodococcus_qingshengii--RS_GCF_023221595.1,subpolar biome,1
s__Enterococcus_B_lactis--RS_GCF_015751045.1,food material for animals,1
s__Klebsiella_oxytoca--RS_GCF_001598695.1,terrestrial biome,4
s__Borreliella_burgdorferi--RS_GCF_000008685.2,terrestrial biome,2
s__Corynebacterium_pseudotuberculosis--RS_GCF_002155265.1,forested area,1
s__Faecalibacterium_longum--RS_GCF_020687245.1,human-associated habitat,3
s__Enterococcus_B_lactis--RS_GCF_015751045.1,agricultural process,1
s__Xanthomonas_A_translucens--RS_GCF_000331775.1,Poa trivialis,1
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,anthropogenic terrestrial biome,1
s__Pantoea_agglomerans--RS_GCF_001598475.1,sandy desert,1
s__Bacteroides_ovatus--RS_GCF_001314995.1,feces,4
s__Clostridium_F_sporogenes--RS_GCF_001020205.1,unidentified,1
s__Phocaeicola_vulgatus--RS_GCF_000012825.1,,169
s__Vibrio_splendidus--GB_GCA_024347615.1,coastal sea water,3
s__Parabacteroides_merdae--GB_GCA_025151215.1,biome,25
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,biome,2
s__Ligilactobacillus_ruminis--RS_GCF_900113455.1,feces,1
s__Acinetobacter_seifertii--RS_GCF_000368065.1,biome,1
s__Bacteroides_fragilis_A--RS_GCF_002849695.1,biome,1
s__Clostridium_AQ_innocuum--RS_GCF_012317185.1,intestine environment,1
s__Pseudomonas_E_protegens--RS_GCF_000397205.1,freshwater environment,1
s__Bacillus_velezensis--RS_GCF_001461825.1,tropical savanna biome,1
s__Alistipes_putredinis--RS_GCF_000154465.1,microcosm,1
s__Xanthomonas_cissicola--RS_GCF_008801575.1,crop,2
s__Bifidobacterium_bifidum--RS_GCF_001025135.1,anthropogenic terrestrial biome,2
s__Parabacteroides_distasonis--RS_GCF_000012845.1,microcosm,1
s__Pseudomonas_E_chlororaphis_F--RS_GCF_003850345.1,ecosystem,1
s__Micrococcus_luteus--RS_GCF_000023205.1,well,1
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,19650 - chicken fresh meat (efsa foodex2),1
s__Micrococcus_luteus--RS_GCF_000023205.1,,27
s__Enterococcus_B_durans--RS_GCF_001544215.1,biome,67
s__Enterococcus_faecalis--RS_GCF_000392875.1,environmental system,33
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,human-associated habitat,3
s__Enterobacter_cloacae--RS_GCF_000025565.1,human-associated habitat,2
s__Bacillus_licheniformis--RS_GCF_000011645.1,biome,5
s__Enterobacter_hormaechei_A--RS_GCF_001729745.1,feces,2
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,lake,2
s__Streptococcus_pyogenes--RS_GCF_002055535.1,urban biome,1
s__Fimenecus_sp000432435--GB_GCA_000432435.1,human-associated habitat,1
s__Porphyromonas_gingivalis--RS_GCF_000010505.1,human-associated habitat,1
s__Enterococcus_B_durans--RS_GCF_001544215.1,human-associated habitat,1
s__Enterococcus_B_durans--RS_GCF_001544215.1,agricultural process,1
s__Bacillus_subtilis--RS_GCF_000009045.1,watercourse,1
s__Lactococcus_cremoris--RS_GCF_001591705.1,,13
s__Shewanella_algae--RS_GCF_009183365.2,,23
s__Pantoea_agglomerans--RS_GCF_001598475.1,area of developed open space,3
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,terrestrial biome,5
s__Agathobacter_rectalis--GB_GCA_000020605.1,human-associated habitat,30
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,agricultural field,3
s__Xanthomonas_A_translucens--RS_GCF_000331775.1,field,2
s__Listeria_monocytogenes_B--RS_GCF_000307025.1,environmental system,2
s__Xanthomonas_campestris--RS_GCF_000007145.1,plant-associated environment,1
s__Faecalibacterium_longum--RS_GCF_020687245.1,feces,7
s__Bacteroides_uniformis--GB_GCA_025147485.1,habitat,1
s__Fimenecus_sp000432435--GB_GCA_000432435.1,feces,1
s__Lactobacillus_crispatus--RS_GCF_018987235.1,habitat,29
s__Pseudomonas_E_alloputida--RS_GCF_021282585.1,farm,1
s__Akkermansia_sp004167605--RS_GCF_004167605.1,biome,67
s__Klebsiella_aerogenes--RS_GCF_000215745.1,sewage,2
s__Pediococcus_acidilactici--RS_GCF_000146325.1,terrestrial biome,13
s__Bacillus_A_nitratireducens--RS_GCF_001884135.1,agricultural field,1
s__Staphylococcus_argenteus--RS_GCF_000236925.1,human-associated habitat,2
s__Lactobacillus_gasseri--RS_GCF_000014425.1,Homo sapiens,1
s__Serratia_marcescens_K--RS_GCF_002220655.1,feces,1
s__Staphylococcus_epidermidis--RS_GCF_006742205.1,biome,40
s__Bacillus_velezensis--RS_GCF_001461825.1,food material,4
s__Pseudomonas_E_paracarnis--RS_GCF_904063055.1,environmental system,3
s__Escherichia_marmotae--RS_GCF_002900365.1,freshwater biome,6
s__Pseudomonas_E_avellanae--RS_GCF_000444135.1,field,2
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,plain,1
s__Mesomycoplasma_hyorhinis--RS_GCF_000383515.1,,1
s__Alistipes_onderdonkii--GB_GCA_025145285.1,human-associated habitat,21
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,watercourse,2
s__Klebsiella_variicola--RS_GCF_000828055.2,freshwater biome,1
s__Streptococcus_gordonii--RS_GCF_001553855.1,anatomical cavity,3
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,bioreactor,1
s__Stutzerimonas_stutzeri--RS_GCF_000219605.1,rhizosphere,1
s__Streptococcus_agalactiae--RS_GCF_000186445.1,feces,1
s__Escherichia_marmotae--RS_GCF_002900365.1,farmyard manure,2
s__Bacillus_subtilis--RS_GCF_000009045.1,karst cave,1
s__Aeromonas_veronii--RS_GCF_000820225.1,,6
s__Citrobacter_werkmanii--GB_GCA_000759755.1,,3
s__Pasteurella_multocida--RS_GCF_900187275.1,,5
s__Latilactobacillus_sakei--RS_GCF_002370355.1,Salmo salar,3
s__Staphylococcus_hominis--RS_GCF_002901845.1,terrestrial biome,2
s__Burkholderia_cepacia--RS_GCF_001411495.1,rhizosphere,1
s__Streptomyces_albidoflavus--RS_GCF_000719955.1,rice kernel food product,1
s__Bacillus_velezensis--RS_GCF_001461825.1,broiler,2
s__Bacillus_A_cereus--RS_GCF_000007825.1,lake,1
s__Weissella_cibaria--RS_GCF_000193635.1,human-associated habitat,2
s__Morganella_morganii--RS_GCF_019243775.1,feces,1
s__Acinetobacter_sp002018365--RS_GCF_002018365.1,,2
s__Lactobacillus_crispatus--RS_GCF_018987235.1,bioreactor,6
s__Aeromonas_veronii--RS_GCF_000820225.1,terrestrial biome,3
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,agricultural process,1
s__Enterobacter_roggenkampii--RS_GCF_001729805.1,biome,3
s__Fusicatenibacter_saccharivorans--RS_GCF_015557635.1,anthropogenic terrestrial biome,7
s__Bacillus_A_anthracis--RS_GCF_000742895.1,unidentified,10
s__Leuconostoc_mesenteroides--RS_GCF_000014445.1,fermented beverage,2
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,biome,1
s__Bacillus_A_mycoides--RS_GCF_000832605.1,milk,1
s__Parabacteroides_merdae--GB_GCA_025151215.1,,32
s__Flavonifractor_plautii--RS_GCF_000239295.1,,22
s__Pseudomonas_E_fulva--RS_GCF_000730565.1,,10
s__Stenotrophomonas_maltophilia--RS_GCF_900186865.1,,5
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,,6
s__Akkermansia_muciniphila--RS_GCF_000020225.1,Homo sapiens,37
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,human-associated habitat,2
s__Staphylococcus_hominis--RS_GCF_002901845.1,alpine,1
s__Citrobacter_B_koseri--GB_GCA_900446925.1,human-associated habitat,4
s__Burkholderia_cenocepacia--RS_GCF_900446215.1,urine,1
s__Acinetobacter_pittii--RS_GCF_000369045.1,terrestrial biome,1
s__Campylobacter_D_jejuni--RS_GCF_001457695.1,habitat,1
s__Streptococcus_salivarius--RS_GCF_000785515.1,,11
s__Aliivibrio_fischeri--RS_GCF_023983475.1,,3
s__Elizabethkingia_anophelis--RS_GCF_002023665.2,,1
s__Anaerostipes_hadrus--RS_GCF_000332875.2,terrestrial biome,5
s__Parabacteroides_distasonis--RS_GCF_000012845.1,watercourse,7
s__Blautia_A_massiliensis--RS_GCF_001487165.1,digestive system,1
s__Mammaliicoccus_sciuri--RS_GCF_002901825.1,watercourse,1
s__Lactobacillus_helveticus--RS_GCF_000160855.1,agricultural ecosystem,5
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,,10
s__Lacticaseibacillus_rhamnosus--RS_GCF_900636965.1,,8
s__Enterococcus_D_gallinarum--RS_GCF_001544275.1,terrestrial biome,2
s__Weissella_confusa--GB_GCA_001436895.1,feces,1
s__Bacillus_velezensis--RS_GCF_001461825.1,Populus,1
s__Burkholderia_cenocepacia--RS_GCF_900446215.1,,3
s__Priestia_megaterium--RS_GCF_000832985.1,rice field,1
s__Staphylococcus_saprophyticus--RS_GCF_000010125.1,biome,29
s__Xylella_fastidiosa--RS_GCF_011801475.1,plantation,4
s__Faecalibacterium_longum--RS_GCF_020687245.1,terrestrial biome,4
s__Bacillus_subtilis--RS_GCF_000009045.1,mountain,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,alimentary part of gastrointestinal system,1
s__Limosilactobacillus_fermentum--RS_GCF_013394085.1,human-associated habitat,4
s__Acinetobacter_ursingii--RS_GCF_000368825.1,human-associated habitat,2
s__Staphylococcus_haemolyticus--RS_GCF_006094395.1,hospital,3
s__Lactobacillus_jensenii--RS_GCF_001436455.1,feces,1
s__Parabacteroides_distasonis--RS_GCF_000012845.1,feces,2
s__Akkermansia_muciniphila--RS_GCF_000020225.1,habitat,1
s__Klebsiella_quasipneumoniae--RS_GCF_020525925.1,forest biome,1
s__Methanosarcina_mazei--RS_GCF_000970205.1,garden,1
s__Blautia_A_wexlerae--GB_GCA_025148125.1,,71
s__Ligilactobacillus_salivarius--RS_GCF_001435955.1,feces,4
s__Pantoea_ananatis--RS_GCF_000710035.2,leaf,1
s__Bacillus_altitudinis--RS_GCF_000691145.1,seaweed,1
s__Acinetobacter_junii--RS_GCF_000368765.1,terrestrial biome,1
s__Xylella_fastidiosa--RS_GCF_011801475.1,California,1
s__Acinetobacter_pittii--RS_GCF_000369045.1,human-associated habitat,1
s__Haemophilus_influenzae_D--RS_GCF_900475755.1,,2
s__Blautia_A_wexlerae--GB_GCA_025148125.1,biome,18
s__Bifidobacterium_breve--RS_GCF_001025175.1,unidentified,4
s__Lacticaseibacillus_paracasei--RS_GCF_000829035.1,human-associated habitat,2
s__Lactiplantibacillus_plantarum--RS_GCF_014131735.1,farm,5
s__Bacteroides_fragilis--RS_GCF_000025985.1,Homo sapiens,1
s__Citrobacter_freundii--RS_GCF_011064845.1,,63
s__Klebsiella_oxytoca--RS_GCF_001598695.1,farmyard manure,1
s__Sphingomonas_koreensis--RS_GCF_002797435.1,Homo sapiens,13
s__Alistipes_putredinis--RS_GCF_000154465.1,terrestrial biome,2
s__Ruminococcus_D_bicirculans--RS_GCF_000723465.1,Homo sapiens,8
