feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS07480,ACIAD1631,,FIG005069: Hypothetical protein,DUF1295 domain-containing protein,"Putative S-adenosyl-L-methionine–dependent O-methyltransferase (UstE-like) implicated in cellular stress tolerance and optimal growth, with mutants showing strong condition-dependent fitness effects (e.g., defects during anaerobic chlorate/perchlorate respiration and oxidative stress).",specific,hypothetical,specific,other_specific,RAST,FIG005069: Hypothetical protein
ACIAD_RS07475,ACIAD1630,,"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type",Cyclopropane-fatty-acyl-phospholipid synthase,S-adenosyl-L-methionine–dependent cyclopropane fatty acid synthase (Cfa) that modifies membrane fatty acyl chains by transferring a methylene group to form cyclopropane fatty acids.,specific,specific,specific,enzyme,RAST,"Cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79), plant type"
ACIAD_RS07470,ACIAD1629,,Hypothetical protein COG3496,DUF1365 domain-containing protein,,hypothetical,hypothetical,missing,hypothetical,None available,
ACIAD_RS07465,ACIAD1628,,"Amine oxidase, flavin-containing",Putative dehydrogenase,"Flavin-dependent oxidoreductase likely involved in nucleotide-sugar modification for type IV pilus/pilin glycosylation and/or surface polysaccharide biosynthesis, contributing to host-associated fitness.",specific,specific,specific,enzyme,RAST,"Amine oxidase, flavin-containing"
ACIAD_RS07460,ACIAD1627,,Fatty acid desaturase (EC 1.14.19.1);Delta-9 fatty acid desaturase (EC 1.14.19.1),Delta 9 acyl-lipid fatty acid desaturase,Putative acyl-CoA desaturase (fatty acid desaturase) likely involved in introducing double bonds into fatty acyl chains for membrane lipid remodeling; disruption causes severe growth/fitness defects across many conditions and alters antibiotic susceptibility.,specific,specific,specific,enzyme,RAST,Fatty acid desaturase (EC 1.14.19.1);Delta-9 fatty acid desaturase (EC 1.14.19.1)
ACIAD_RS07455,ACIAD1626,,Outer membrane lipoprotein Blc,Outer membrane lipoprotein Blc,Putative bacterial lipocalin (Blc-like calycin family) that binds/traffics hydrophobic ligands such as fatty acids or other lipids.,specific,specific,specific,other_specific,RAST,Outer membrane lipoprotein Blc
ACIAD_RS07450,ACIAD1625,,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage",putative membrane transporter protein,"Predicted TauE-family inner membrane permease likely involved in transport (export/uptake) of taurine or related organosulfonates (e.g., p-toluenesulfonate).",specific,specific,specific,other_specific,RAST,"Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage"
ACIAD_RS07445,ACIAD1624,,Transcriptional activator of acetoin dehydrogenase operon AcoR,Sigma-54-dependent Fis family transcriptional regulator,Predicted σ54-dependent enhancer-binding transcriptional regulator (NorR/NtrC family AAA+ ATPase with HTH DNA-binding domain) implicated in controlling stress-response and metabolic genes affecting fitness during oxidative/metal/antibiotic stress and growth on specific carbon/nitrogen sources.,specific,specific,specific,enzyme,RAST,Transcriptional activator of acetoin dehydrogenase operon AcoR
ACIAD_RS07440,ACIAD1622,araC,AraC family transcriptional regulator;Transcriptional activator NphR,AraC family transcriptional regulator,"AraC-family transcriptional regulator likely required to activate genes for ornithine/arginine catabolism (including citrulline utilization), as mutants show strong fitness defects during growth on L-ornithine and L-citrulline as carbon sources.",specific,specific,specific,regulator,RAST,AraC family transcriptional regulator;Transcriptional activator NphR
ACIAD_RS07435,ACIAD1620,,Aldoxime dehydratase,Aldoxime dehydratase,"Putative aliphatic/aryl aldoxime dehydratase (Oxd) that catalyzes dehydration of aldoximes (e.g., phenylacetaldoxime) to the corresponding nitriles.",specific,specific,specific,other_specific,RAST,Aldoxime dehydratase
ACIAD_RS07430,,,QbdB,Phenol degradation protein meta,"Outer membrane channel protein FapF, required for secretion/export of Fap functional amyloid subunits to the cell surface (biofilm/adhesion).",specific,specific,specific,other_specific,RAST,QbdB
ACIAD_RS07425,ACIAD1618,,Amidase clustered with urea ABC transporter and nitrile hydratase functions,Amidase,Predicted amidase signature family enzyme (AS amidase) that hydrolyzes carboxamide bonds in small-molecule amides.,specific,specific,specific,transporter,RAST,Amidase clustered with urea ABC transporter and nitrile hydratase functions
ACIAD_RS07420,ACIAD1616,nthA,Cobalt-containing nitrile hydratase subunit alpha (EC 4.2.1.84),nitrile hydratase subunit alpha,"Putative nitrile hydratase alpha/thiocyanate hydrolase gamma subunit family protein, likely a small metalloenzyme component involved in nitrile/thiocyanate metabolism and associated redox processes.",specific,specific,specific,enzyme,RAST,Cobalt-containing nitrile hydratase subunit alpha (EC 4.2.1.84)
ACIAD_RS07415,ACIAD1615,nthB,Cobalt-containing nitrile hydratase subunit beta (EC 4.2.1.84),nitrile hydratase subunit beta,"Nitrile hydratase beta subunit, a component of the nitrile hydratase enzyme complex that catalyzes hydration of nitriles to the corresponding amides.",specific,specific,specific,enzyme,RAST,Cobalt-containing nitrile hydratase subunit beta (EC 4.2.1.84)
ACIAD_RS07410,ACIAD1614,,Zinc-binding GTPase YciC,GTP-binding protein,"Predicted CobW-like P-loop NTPase metal chaperone, likely involved in zinc trafficking/delivery during metallocofactor biosynthesis.",specific,specific,specific,other_specific,RAST,Zinc-binding GTPase YciC
ACIAD_RS07405,ACIAD1613,,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)",Acyl-CoA dehydrogenase,"FAD-dependent acyl-CoA dehydrogenase/oxidase (acyl-CoA dehydrogenase-like enzyme), likely catalyzing the first oxidation step of fatty acyl-CoA substrates in β-oxidation.",specific,specific,specific,enzyme,RAST,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)"
ACIAD_RS07400,ACIAD1612,,3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16),Acetyl-CoA C-acyltransferase,Putative thiolase-family enzyme (3-ketoacyl-CoA thiolase/acetyl-CoA acetyltransferase) that catalyzes thiolytic cleavage or Claisen condensation of acyl-CoA substrates in fatty-acid β-oxidation or related CoA-dependent pathways.,specific,specific,specific,enzyme,RAST,3-ketoacyl-CoA thiolase [isoleucine degradation] (EC 2.3.1.16)
ACIAD_RS07395,ACIAD1611,,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases,Putative acetyl-CoA synthetase/AMP-(Fatty) acid ligase,"Predicted AMP-forming acyl-CoA synthetase (ANL superfamily), likely a medium-chain fatty acid/organosulfonate ligase associated with the alkanesulfonate (ssu) utilization gene cluster.",specific,specific,specific,enzyme,RAST,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases
ACIAD_RS07390,ACIAD1610,araC,"Transcriptional regulator, AraC family",AraC family transcriptional regulator,"AraC-family DNA-binding transcriptional regulator that modulates fitness during utilization of diverse carbon sources (including dicarboxylic acids/surfactant-derived fatty acids) and in plant-associated environments, consistent with a role in regulating metabolic/stress-response genes.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, AraC family"
ACIAD_RS07385,ACIAD1609,,3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4),3-hydroxyisobutyryl-CoA hydrolase,Putative enoyl-CoA hydratase/isomerase (crotonase family) likely catalyzing hydration/isomerization of enoyl-CoA thioesters in fatty-acid or related acyl-CoA metabolism.,specific,specific,specific,enzyme,RAST,3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)
ACIAD_RS07380,ACIAD1608,,Enoyl-CoA hydratase (EC 4.2.1.17) => degradation of branched-chain amino acids and alpha-keto acids,enoyl-CoA hydratase,"Predicted crotonase-family enoyl-CoA hydratase/isomerase, likely catalyzing hydration/isomerization of enoyl-CoA intermediates in fatty-acid or related acyl-CoA metabolism.",specific,specific,specific,enzyme,RAST,Enoyl-CoA hydratase (EC 4.2.1.17) => degradation of branched-chain amino acids and alpha-keto acids
ACIAD_RS07375,ACIAD1607,,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)",Acyl-CoA dehydrogenase,"Predicted FAD-dependent acyl-CoA dehydrogenase/oxidoreductase, likely functioning in fatty-acyl-CoA β-oxidation (including short-chain fatty acid utilization such as butyrate).",specific,specific,specific,enzyme,RAST,"Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1)"
ACIAD_RS07370,ACIAD1606,,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases,Putative acetyl-coA synthetase/AMP-(Fatty) acid ligase,Predicted AMP-forming fatty acid–CoA ligase (acyl‑CoA synthetase) that activates medium/long-chain fatty acids to acyl‑CoA thioesters for lipid metabolism.,specific,specific,specific,enzyme,RAST,Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases
ACIAD_RS07365,ACIAD1605,mmsB,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31),3-hydroxyisobutyrate dehydrogenase,"NAD(P)-dependent D-amino acid dehydrogenase (DadA-family), required for catabolism of alanine (D- and L-alanine) as a carbon and/or nitrogen source.",specific,specific,specific,enzyme,RAST,3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)
ACIAD_RS07360,ACIAD1604,,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27),methylmalonate-semialdehyde dehydrogenase (CoA acylating),"NAD-dependent aldehyde dehydrogenase of the methylmalonate-semialdehyde dehydrogenase family, likely producing propionyl-CoA from methylmalonate semialdehyde in valine/thymine catabolism; required for robust growth in multiple conditions.",specific,specific,specific,enzyme,RAST,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27)
ACIAD_RS07355,ACIAD1602,lysR,"Transcriptional regulator, LysR family",LysR family transcriptional regulator,"LysR-family transcriptional regulator with N-terminal winged-helix DNA-binding domain and C-terminal LysR substrate-binding domain, likely controlling gene expression needed for adaptation to alkaline pH stress.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family"
ACIAD_RS07350,ACIAD1601,,Alkanesulfonates-binding protein,"Sulfate ester binding protein (ABC superfamily, peri_bind)","Predicted periplasmic substrate-binding protein of an ABC transporter (SsuA/THI5-like family), likely involved in uptake of organosulfur compounds such as alkanesulfonates/thiamin-related sulfur metabolites that support growth on some carbon sources.",specific,specific,specific,other_specific,RAST,Alkanesulfonates-binding protein
ACIAD_RS07345,ACIAD1600,atsK,"dioxygenase, TauD/TfdA family",Alkylsulfatase,"Predicted Fe(II)/2-oxoglutarate-dependent dioxygenase of the TauD/TfdA (taurine dioxygenase-like) family, likely catalyzing oxidative desulfonation/hydroxylation of a sulfonate or sulfate-ester substrate.",specific,specific,specific,other_specific,RAST,"dioxygenase, TauD/TfdA family"
ACIAD_RS07340,ACIAD1599,,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases,Crp/Fnr family transcriptional regulator,cAMP/cGMP-responsive CRP/FNR-family transcriptional regulator with an N-terminal cyclic nucleotide-binding domain and a C-terminal Crp-type helix-turn-helix DNA-binding domain.,specific,specific,specific,enzyme,RAST,cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases
ACIAD_RS07335,ACIAD1598,,Arylsulfatase (EC 3.1.6.1),Arylsulfatase (Aryl-sulfate sulphohydrolase),Putative sulfatase (alkaline phosphatase–like hydrolase family) likely catalyzing hydrolysis of sulfate esters.,specific,specific,specific,enzyme,RAST,Arylsulfatase (EC 3.1.6.1)
ACIAD_RS07330,ACIAD1597,,"Outer membrane receptor proteins, mostly Fe transport",TonB-dependent receptor,"TonB-dependent outer membrane beta-barrel receptor (plug and TonB-dependent receptor domains), likely mediating TonB-coupled uptake of scarce nutrients such as siderophores or vitamin B12.",specific,specific,specific,transporter,RAST,"Outer membrane receptor proteins, mostly Fe transport"
ACIAD_RS07325,,mgrA,L-glyceraldehyde 3-phosphate reductase,NADP-dependent oxidoreductase domain-containing protein,"Putative NADP(H)-dependent oxidoreductase of the Kv-channel beta subunit (KCNAB)-like family, likely a soluble redox enzyme with an NAD(P)-binding oxidoreductase fold.",specific,specific,specific,enzyme,RAST,L-glyceraldehyde 3-phosphate reductase
ACIAD_RS07320,ACIAD1595,,Nitrilotriacetate monooxygenase component A (EC 1.14.13.-),Nitrilotriacetate monooxygenase component A (NTA monooxygenase component A) (NTA-MO A),"Predicted luciferase-like flavin-dependent monooxygenase (nitrilotriacetate monooxygenase component A/pristinamycin IIA synthase subunit A family), likely an oxygenase subunit involved in oxidative metabolism of diverse small-molecule substrates.",specific,specific,specific,other_specific,RAST,Nitrilotriacetate monooxygenase component A (EC 1.14.13.-)
ACIAD_RS07315,ACIAD1594,,TonB-dependent receptor,TonB-dependent receptor,Predicted TonB-dependent outer membrane receptor (plugged β-barrel) likely involved in TonB-mediated uptake of scarce nutrients such as siderophore-bound iron or other small molecules.,specific,specific,specific,other_specific,RAST,TonB-dependent receptor
ACIAD_RS07310,ACIAD1593,,Alkanesulfonates-binding protein,SsuA/THI5-like domain-containing protein,"Putative thiamine (vitamin B1) biosynthesis enzyme of the Thi5/SsuA-like family, likely involved in thiazole moiety formation; mutants show strong fitness defects in vitamin-limited conditions consistent with a role in thiamine production.",specific,specific,specific,other_specific,RAST,Alkanesulfonates-binding protein
ACIAD_RS07305,ACIAD1592,,"dioxygenase, TauD/TfdA family",TauD/TfdA-like domain-containing protein,"Alpha subunit of 3‑oxoadipate (beta‑ketoadipate) succinyl‑CoA transferase (PcaIJ), catalyzing CoA transfer to form 3‑oxoadipyl‑CoA in the beta‑ketoadipate pathway for protocatechuate/benzoate and related aromatic compound catabolism.",specific,specific,specific,other_specific,RAST,"dioxygenase, TauD/TfdA family"
ACIAD_RS07300,ACIAD1591,,"Transcriptional regulator, Crp/Fnr family",Crp/Fnr family transcriptional regulator,"CRP/FNR family transcriptional regulator containing an N-terminal cyclic nucleotide-binding (cNMP) sensor domain and a C-terminal CRP-type helix-turn-helix DNA-binding domain, likely regulating gene expression in response to cyclic nucleotide signals.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, Crp/Fnr family"
ACIAD_RS07295,ACIAD1590,exbD,Biopolymer transport protein ExbD/TolR,Biopolymer transporter ExbD,"ExbD/TolR family inner-membrane energy-transduction protein that couples the proton motive force to TonB-dependent transport, supporting nutrient acquisition and robust growth in diverse minimal-media conditions.",specific,specific,specific,transporter,RAST,Biopolymer transport protein ExbD/TolR
ACIAD_RS07290,ACIAD1589,,TonB-dependent receptor,Biopolymer transport protein (ExbB-like),Predicted ExbB/TolQ family inner membrane proton channel component that transduces proton motive force to energize TonB/Tol-dependent outer membrane biopolymer/nutrient transport.,specific,specific,specific,other_specific,RAST,TonB-dependent receptor
ACIAD_RS07285,ACIAD1588,tonB,putative TonB-dependent receptor,TonB C-terminal domain-containing protein,"TonB family inner-membrane energy transducer that couples the proton motive force to TonB-dependent outer-membrane transporters, likely supporting uptake of organosulfonates/taurine and other nutrients.",specific,specific,specific,other_specific,RAST,putative TonB-dependent receptor
ACIAD_RS07280,ACIAD1587,,"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron);ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)",ABC transporter domain-containing protein,"ATP-binding (nucleotide-binding) subunit of an ABC transporter, providing ATPase activity to power substrate transport across the membrane.",specific,specific,specific,transporter,RAST,"ABC transporter, ATP-binding protein (cluster 1, maltose/g3p/polyamine/iron);ABC transporter, ATP-binding protein (cluster 10, nitrate/sulfonate/bicarbonate)"
ACIAD_RS07275,,,Alkanesulfonates transport system permease protein,ABC transmembrane type-1 domain-containing protein,"Predicted integral-membrane permease subunit of an ABC-type uptake transporter (MetI-like/TMD1 family; tandem MetI-like domains), likely mediating import of small solutes and contributing to growth on multiple carbon/nitrogen sources and stress tolerance.",specific,specific,specific,transporter,RAST,Alkanesulfonates transport system permease protein
ACIAD_RS07270,ACIAD1585,,Rhodanese-related sulfurtransferase,Rhodanese domain-containing protein,"Rhodanese-like amidohydrolase component associated with the urea amidolyase/allophanate hydrolase gene cluster, likely functioning in ATP-dependent nitrogen salvage from allophanate/5-oxoproline (pyroglutamate) during utilization of these compounds as nutrients.",specific,specific,specific,enzyme,RAST,Rhodanese-related sulfurtransferase
ACIAD_RS07265,ACIAD1584,epsC,Serine acetyltransferase (EC 2.3.1.30),serine O-acetyltransferase EpsC,"Serine O-acetyltransferase (CysE) that acetylates L-serine using acetyl-CoA to form O-acetyl-L-serine, the committed step in L-cysteine biosynthesis.",specific,specific,specific,enzyme,RAST,Serine acetyltransferase (EC 2.3.1.30)
ACIAD_RS07260,ACIAD1583,,cAMP-binding protein,family 2A encapsulin nanocompartment shell protein,"Encapsulin nanocompartment shell protein (type 2A/SrpI-like), predicted to assemble into an icosahedral protein compartment for encapsulated cargo enzymes.",specific,specific,specific,other_specific,RAST,cAMP-binding protein
ACIAD_RS07255,ACIAD1582,sufS,Cysteine desulfurase (EC 2.8.1.7),family 2A encapsulin nanocompartment cargo protein cysteine desulfurase,"Putative PLP-dependent cysteine desulfurase (SufS-like), likely mobilizing sulfur from L-cysteine for iron–sulfur cluster biosynthesis/repair via the SUF system.",specific,specific,specific,enzyme,RAST,Cysteine desulfurase (EC 2.8.1.7)
ACIAD_RS07250,ACIAD1581,,"Transcriptional regulator, AcrR family",TetR/AcrR family transcriptional regulator,"TetR/KstR2-family helix-turn-helix transcriptional regulator implicated in stress resistance, with RB-TnSeq mutants in multiple Pseudomonas homologs showing reduced fitness under DNA-damaging cisplatin and heavy-metal (Ni/Co) stress.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, AcrR family"
ACIAD_RS07245,ACIAD1580,,Ferredoxin reductase,Pyridine nucleotide-disulfide oxidoreductase,"Predicted cytosolic FAD/NAD(P)-dependent oxidoreductase (dimeric flavoprotein) implicated in metabolism of specific carbon/nitrogen substrates, with homolog knockouts reducing fitness during growth on dicarboxylates (e.g., suberate/glutarate) and amino acids (citrulline/ornithine) and under some stress conditions.",specific,specific,specific,enzyme,RAST,Ferredoxin reductase
ACIAD_RS07240,ACIAD1579,,"Ferredoxin, 2Fe-2S",Putative ferredoxin (Electron transport iron-sulfur protein),"Small adrenodoxin-like 2Fe-2S ferredoxin that likely functions as an electron-transfer partner of the Rnf (ion-translocating ferredoxin:NAD+ oxidoreductase)/related respiratory redox complex, influencing anaerobic respiration and stress tolerance.",specific,specific,specific,other_specific,RAST,"Ferredoxin, 2Fe-2S"
ACIAD_RS07235,ACIAD1578,,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284),NAD(P)-dependent alcohol dehydrogenase,"Putative zinc-dependent NAD(P)-dependent alcohol dehydrogenase/oxidoreductase (medium-chain dehydrogenase/reductase family), likely catalyzing redox interconversion of alcohol/aldehyde substrates.",specific,specific,specific,enzyme,RAST,S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)
ACIAD_RS07230,ACIAD1577,,Aldehyde dehydrogenase (EC 1.2.1.3),Putative aldehyde dehydrogenase,"Aldehyde dehydrogenase family oxidoreductase (NAD(P)+-dependent), likely catalyzing oxidation of an aldehyde substrate to the corresponding carboxylic acid (e.g., histidinol dehydrogenase-type enzyme).",specific,specific,specific,enzyme,RAST,Aldehyde dehydrogenase (EC 1.2.1.3)
ACIAD_RS07225,ACIAD1576,araC,Transcriptional regulator,AraC family transcriptional regulator,"AraC/XylS-family transcriptional regulator that controls the glyoxylate carboligase (glycerate) pathway for glycolate/glyoxylate utilization and associated purine/urate catabolism genes, supporting growth on glycolate and nucleosides that feed into glyoxylate metabolism.",specific,specific,specific,regulator,RAST,Transcriptional regulator
ACIAD_RS07220,ACIAD1575,,Putative cytochrome P450 hydroxylase,Linalool 8-monooxygenase (Cytochrome P450 111) (Cytochrome P450lin),"Predicted cytochrome P450 (CYP) heme‑thiolate monooxygenase, likely catalyzing NAD(P)H/O2‑dependent oxidative modification (e.g., hydroxylation/epoxidation) of small-molecule substrates.",specific,specific,specific,other_specific,RAST,Putative cytochrome P450 hydroxylase
ACIAD_RS07215,,,transporter,Transporter,"Type II secretion system inner membrane component GspF (general secretion pathway protein F), required for assembly/function of the Gsp secretion machinery and contributes to fitness under envelope/antibiotic stresses and in host-associated conditions.",specific,specific,specific,transporter,RAST,transporter
ACIAD_RS07210,ACIAD1572,,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),Acyl-CoA synthetase,AMP-dependent synthetase/ligase (acyl-adenylate–forming enzyme) likely catalyzing ATP-dependent activation/ligation of a carboxylate substrate.,specific,specific,specific,enzyme,RAST,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)
ACIAD_RS07205,ACIAD1571,,Enoyl-CoA hydratase (EC 4.2.1.17),Carnitinyl-CoA dehydratase (Crotonobetainyl-CoA hydratase),"Putative crotonase-family enoyl-CoA hydratase/isomerase, likely acting on acyl-CoA thioesters in fatty-acid/short-chain carbon metabolism.",specific,specific,specific,enzyme,RAST,Enoyl-CoA hydratase (EC 4.2.1.17)
ACIAD_RS07200,ACIAD1570,,"putative oxidoreductase, nitronate monooxygenase family",Nitronate monooxygenase,"Predicted FMN-dependent nitronate monooxygenase (2-nitropropane dioxygenase family), likely oxidizing nitronate/nitroalkane substrates to the corresponding carbonyl compound with nitrite release (detoxification of nitro compounds).",specific,specific,specific,enzyme,RAST,"putative oxidoreductase, nitronate monooxygenase family"
ACIAD_RS07195,ACIAD1569,,3-ketoacyl-CoA thiolase (EC 2.3.1.16);Acetyl-CoA acetyltransferase (EC 2.3.1.9),Putative 3-ketoacyl-CoA thiolase/acetyl-CoA acetyltransferase,"Thiolase-family acyl-CoA acetyltransferase (beta-ketoacyl-CoA thiolase) likely involved in CoA-dependent central carbon metabolism, important for growth in minimal media and across diverse carbon sources.",specific,specific,specific,enzyme,RAST,3-ketoacyl-CoA thiolase (EC 2.3.1.16);Acetyl-CoA acetyltransferase (EC 2.3.1.9)
ACIAD_RS07190,ACIAD1568,,Enoyl-CoA hydratase (EC 4.2.1.17),Enoyl-CoA hydratase,"Predicted enoyl-CoA hydratase/isomerase (crotonase family) enzyme, catalyzing hydration/isomerization of enoyl-CoA thioesters in acyl-CoA metabolism.",specific,specific,specific,enzyme,RAST,Enoyl-CoA hydratase (EC 4.2.1.17)
ACIAD_RS07185,ACIAD1567,,"acyl-CoA dehydrogenase, putative phosphotransferase",Aminoglycoside phosphotransferase domain-containing protein,"Predicted aminoglycoside phosphotransferase (APH) family protein kinase, likely mediating aminoglycoside antibiotic phosphorylation and resistance.",specific,specific,specific,enzyme,RAST,"acyl-CoA dehydrogenase, putative phosphotransferase"
ACIAD_RS07180,ACIAD1566,,Acyl-CoA dehydrogenase,Acyl-CoA dehydrogenase,"Putative FAD-dependent acyl-CoA dehydrogenase/oxidase family enzyme, likely catalyzing an initial dehydrogenation step in acyl-CoA (fatty acid and/or branched-chain amino acid) catabolism and contributing to fitness during metal/antibiotic stress.",specific,specific,specific,enzyme,RAST,Acyl-CoA dehydrogenase
ACIAD_RS07175,ACIAD1565,,3-hydroxyacyl-CoA dehydrogenase,3-hydroxyacyl-CoA dehydrogenase,"NAD(P)-dependent short-chain dehydrogenase/reductase (SDR) family oxidoreductase, likely a fatty acid/lipid metabolism reductase (FabG-like 3-oxoacyl-[acyl-carrier protein] reductase).",specific,specific,specific,enzyme,RAST,3-hydroxyacyl-CoA dehydrogenase
ACIAD_RS16925,,,transposase,hypothetical protein,,specific,hypothetical,missing,other_specific,RAST,transposase
ACIAD_RS07165,ACIAD1561,,P-hydroxyphenylacetate hydroxylase C1:reductase component,p-hydroxyphenylacetate 3-hydroxylase reductase component,Putative redox-responsive transcriptional regulator with an N-terminal NADH-dependent FMN/flavin reductase-like domain fused to a C-terminal winged helix (HTH) DNA-binding domain.,specific,specific,specific,enzyme,RAST,P-hydroxyphenylacetate hydroxylase C1:reductase component
ACIAD_RS16920,,,IS5 family transposase,Transposase DDE domain-containing protein,,specific,specific,missing,other_specific,RAST,IS5 family transposase
ACIAD_RS07150,ACIAD1558,,"Glycosyl transferase, group 2 family",Glycosyl transferase,"Predicted GT2-family glycosyltransferase (nucleotide-diphospho-sugar transferase fold), likely involved in cell-envelope polysaccharide/LPS modification that influences stress tolerance and host-associated fitness.",specific,specific,specific,enzyme,RAST,"Glycosyl transferase, group 2 family"
ACIAD_RS07145,ACIAD1557,,Methyltransferase type 12,Class I SAM-dependent methyltransferase,Putative S-adenosyl-L-methionine (SAM)-dependent methyltransferase of the NodS-like family (small-molecule/glycan methylation enzyme; substrate unknown).,specific,specific,specific,enzyme,RAST,Methyltransferase type 12
ACIAD_RS07140,ACIAD1556,,LmbE-like protein,PIG-L family deacetylase,"Predicted LmbE/PIG-L family metal-dependent de-N-acetylase (carbohydrate deacetylase), implicated in metabolism required for optimal growth on several carbon sources (e.g., glucose/mannitol/lactate/butyrate and myo-inositol) based on RB-TnSeq fitness defects of homologs.",specific,specific,specific,other_specific,RAST,LmbE-like protein
ACIAD_RS07135,,,Acyl-CoA dehydrogenase/oxidase domain protein,Acyl-CoA dehydrogenase,"Predicted FAD-dependent acyl-CoA dehydrogenase/oxidase family enzyme, likely catalyzing the first oxidation step in β-oxidation/catabolism of short-chain acyl-CoA intermediates (e.g., during propionate/butyrate and some amino-acid utilization).",specific,specific,specific,enzyme,RAST,Acyl-CoA dehydrogenase/oxidase domain protein
ACIAD_RS07130,ACIAD1550,,"Short-chain dehydrogenase, associated with 2-hydroxychromene-2-carboxylate isomerase family protein",Oxidoreductase,"Putative NAD(P)H-dependent oxidoreductase (YaiB-family), likely a quinone/electrophile reductase involved in cellular redox/stress protection and commonly encoded adjacent to shikimate-pathway genes (aroL/aroM).",specific,specific,specific,enzyme,RAST,"Short-chain dehydrogenase, associated with 2-hydroxychromene-2-carboxylate isomerase family protein"
ACIAD_RS07125,ACIAD1549,,"Short-chain dehydrogenase, associated with 2-hydroxychromene-2-carboxylate isomerase family protein",Short-chain dehydrogenase,"Putative NAD(P)-dependent short-chain dehydrogenase/reductase (SDR) oxidoreductase, likely functioning as an aldehyde/alcohol reductase that contributes to cellular stress tolerance by detoxifying reactive carbonyl compounds.",specific,specific,specific,enzyme,RAST,"Short-chain dehydrogenase, associated with 2-hydroxychromene-2-carboxylate isomerase family protein"
ACIAD_RS07120,ACIAD1548,,Glutathione S-transferase family protein,Putative glutathione S-transferase,"Putative cytosolic glutathione S-transferase (GST) family enzyme (thioredoxin-like N-terminal and GST C-terminal domains), likely involved in glutathione-dependent detoxification/conjugation reactions.",specific,specific,specific,enzyme,RAST,Glutathione S-transferase family protein
ACIAD_RS07115,ACIAD1547,,metal-dependent hydrolase,Metal-dependent hydrolase,"Uncharacterized conserved bacterial protein (UCP07580 family) likely involved in translation quality control/ribosome rescue, based on cofitness with a peptidyl‑tRNA hydrolase–domain protein and frequent genomic association with tRNA/ribosome-associated factors (e.g., ArfB and tRNA modification enzymes).",specific,specific,specific,enzyme,RAST,metal-dependent hydrolase
ACIAD_RS07110,ACIAD1545,,"Transcriptional regulator, HxlR family",HTH hxlR-type domain-containing protein,"HxlR-family winged helix-turn-helix transcriptional regulator, likely controlling a conserved membrane/transport gene cluster (often adjacent to preQ0/queuosine precursor transporter and other membrane proteins) and contributing to bacterial fitness during plant-associated growth and utilization of diverse carbon sources.",specific,specific,specific,regulator,RAST,"Transcriptional regulator, HxlR family"
ACIAD_RS07105,ACIAD1543,lysR,"Transcriptional regulator, LysR family => TcuR",HTH lysR-type domain-containing protein,Putative LysR-family transcriptional regulator genetically linked to the EnvZ/OmpR osmotic/envelope stress regulon; influences outer-membrane/porin-associated responses and bacterial fitness during cell-envelope/antibiotic stresses.,specific,specific,specific,regulator,RAST,"Transcriptional regulator, LysR family => TcuR"
